code,act,section,description
15443,"MVA","211.1(1)(j.2)","Specific powers to make regulations"
15444,"MVA","211.1(1)(f)","Specific powers to make regulations"
15445,"MVA","211.1(1)(j.1)(i)","Specific powers to make regulations"
15446,"MVA","211.1(1)(q)","Specific powers to make regulations"
15448,"MVA","186(5)(e)","Commercial vehicle no stop at railway"
15449,"MVA","186(5)(d)","Commercial vehicle no stop at railway"
15450,"MVA","186(5)(c)","Commercial vehicle no stop at railway"
15451,"MVA","186(5)(b)","Commercial vehicle no stop at railway"
15452,"MVA","186(5)(a)","Commercial vehicle no stop at railway"
15455,"MVA","186(4)(a)(ii)","Fail to Stop at Railway Crossing"
15456,"MVA","186(2)","Fail to stop or leave safely at railway crossing"
15458,"MVA","186(4)","Fail to stop at railway crossing"
15459,"MVA","185(4)","Cycling while rider attached to vehicle"
15461,"MVA","185(2)(g)","Ride cycle where prohibited"
15463,"MVA","185(6)(a)(iii)","Disobey duties of cyclist"
15464,"MVA","186(4)(a)(i)","Fail to stop at railway crossing"
15465,"MVA","186(5)(e)(ii)","Commercial vehicle no stop at railway"
15467,"MVA","186(5)(f)","Commercial vehicle no stop at railway"
15468,"MVA","185(6)(a)(ii)","Disobey duties of cyclist"
15470,"MVA","185(6)(a)","Disobey duties of cyclist"
15472,"MVA","185(7)(b)","Operating a Cycle With Undue Care and Attention"
15474,"MVA","185(7)","Operating a Cycle With Undue Care and Attention"
15475,"MVA","185(6)(d)","Duty of cyclist at accident"
15476,"MVA","185(6)(c)","Duty of cyclist at accident"
15477,"MVA","185(6)(b)","Disobey duties of cyclist"
15478,"MVA","189(2)(b)","Police may move parked vehicle"
15479,"MVA","189(2)(a)","Police may move parked vehicle"
15480,"MVA","189(2)","Police may move parked vehicle"
15481,"MVA","189(1)(g)","Police may move parked vehicle"
15482,"MVA","186(5)(e)(i)","Commercial vehicle no stop at railway"
15483,"MVA","189(3)(b)","Police may move parked vehicle"
15484,"MVA","185(6)(a)(i)","Disobey duties of cyclist"
15486,"MVA","185(8)(b)","Rights and Duties of Operator of Cycle"
15487,"MVA","185(8)(a)","Rights and Duties of Operator of Cycle"
15490,"MVA","190(1)","When Vehicle Stopping Prohibited"
15492,"MVA","189(4)","Police may move parked vehicle"
15493,"MVA","189(1)(d)","Parked vehicle interferes with normal flow of traf"
15494,"MVA","189(3)(a)","Police may move parked vehicle"
15495,"MVA","189(1)(e)","Police may move parked vehicle"
15496,"MVA","189(2)(c)","Police may move parked vehicle"
15920,"MVA","24.1(1)(b.1)","Refusal to issue a licence, permit etc."
15921,"MVA","45.2(1)","No pollution control devices"
15922,"MVA","45.2","No pollution control devices"
15923,"MVA","45(4)(a)","Pollution control devices on motor vehicles"
15924,"MVA","45.1(a)","No pollution control devices"
15925,"MVA","45(4)(b)","Pollution control devices on motor vehicles"
15926,"MVA","45(4)(g)","Pollution control devices on motor vehicles"
15927,"MVA","45(4)(f)","Pollution control devices on motor vehicles"
15928,"MVA","45.1","No pollution control devices"
15268,"MVA","181(2)"
15269,"MVA","181(1)"
15270,"MVA","220.1(1)(a)"
15271,"MVA","94(1)(a)"
15272,"MVA","92.1(1)(b)"
15273,"MVA","217(1)"
15274,"MVA","198"
15275,"MVA","195(1)"
15276,"MVA","149(1)(a)"
15277,"MVA","94(1)(b)"
15278,"MVA","159(1)(a)"
15279,"MVA","139"
15281,"MVA","192(1)"
15282,"MVA","190(1)(l)"
15284,"MVA","185(2)(d)"
15285,"MVA","185(2)(c)"
15286,"MVA","181(4)(b)"
15287,"MVA","178(1)"
15288,"MVA","172(2)"
15289,"MVA","49"
15290,"MVA","42(1)"
15292,"MVA","23(3)(b)"
15293,"MVA","23(2)"
15295,"MVA","152(1)","Exceeding 30 km h in school zone."
15296,"MVA","134(4)(a)"
15297,"MVA","134(3)(b)"
15299,"MVA","134(2)"
15300,"MVA","133(2)(a)"
15301,"MVA","133(1)(b)"
15303,"MVA","77(2)"
15304,"MVA","159(2)(a)"
15305,"MVA","154(3)"
15306,"MVA","154(2)","Fail to Keep Right"
15307,"MVA","146"
15308,"MVA","145"
15309,"MVA","137(3)(a)"
15310,"MVA","137(1)"
15311,"MVA","136(1)(a)"
15312,"MVA","134(3)(c)"
15313,"MVA","217(4)"
15314,"MVA","216(1)"
15315,"MVA","151(5)"
15316,"MVA","151(3)"
15317,"MVA","148(1)(b)"
15318,"MVA","216(2)(a)","Equipment of Motor Vehicles"
15319,"MVA","216(2)(a)(i)","Equipment of Motor Vehicles"
15320,"MVA","216(2)(b)","Equipment of Motor Vehicles"
15321,"MVA","216(2)(a)(ii)","Equipment of Motor Vehicles"
15323,"MVA","215.2(a)","Superintendents standards and approvals"
15324,"MVA","215.2(c)","Superintendents standards and approvals"
15325,"MVA","217(1)","Vehicle Unequipped with Seat Belt Assembly"
15326,"MVA","215.2","Superintendents standards and approvals"
15327,"MVA","216(1)","Equipment of Motor Vehicles in Compliance with MVA"
15328,"MVA","217(5)(b)(iii)","Fails to have seatbelt exemption card cert"
15329,"MVA","217(5)(b)(iv)","Fails to have seatbelt exemption card cert"
15330,"MVA","217(5)(c)","Fails to have seatbelt exemption card cert"
15331,"MVA","216(2)","Equipment of Motor Vehicles"
15332,"MVA","217","Seat Belt Assembly"
15333,"MVA","215.1(2)","Inspections"
15334,"MVA","217(2)","Seat Belt Assembly"
15335,"MVA","217(3)","Removed or Modified Seat Belt Assembly"
15336,"MVA","215(1)(e)(i)","Regulations"
15337,"MVA","215(1)(e)","Regulations"
15338,"MVA","215(1)(d)","Regulations"
15339,"MVA","217(5)","Fails to have seatbelt exemption card cert"
15340,"MVA","217(5)(a)","Fails to have seatbelt exemption card cert"
15341,"MVA","217(5)(b)","Fails to have seatbelt exemption card cert"
15342,"MVA","217(5)(b)(i)","Fails to have seatbelt exemption card cert"
15343,"MVA","217(5)(b)(ii)","Fails to have seatbelt exemption card cert"
15344,"MVA","215(1)(f)(iii)","Regulations"
15345,"MVA","215","Regulations"
15346,"MVA","211(1)(d)","Regulations"
15347,"MVA","217(5)(d)","Fails to have seatbelt exemption card cert"
15348,"MVA","216(4)(b)","Equipment of Motor Vehicles"
15349,"MVA","215(1)(a)","Regulations"
15350,"MVA","215(1)(f)","Regulations"
15351,"MVA","215(1)(e)(ii)","Regulations"
15352,"MVA","220.4(1)","Proof of blood sample"
15353,"MVA","220.5","Civil liability"
15354,"MVA","220.3(2)","Refusal to give blood sample"
15355,"MVA","220.3(1)","Refusing blood sample"
15356,"MVA","220.4","Proof of blood sample"
15357,"MVA","220.4(5)","Proof of blood sample"
15358,"MVA","220.4(4)","Proof of blood sample"
15359,"MVA","220.4(3)","Proof of blood sample"
15360,"MVA","222(5)","CoMencement"
15361,"MVA","220.4(6)","Proof of blood sample"
15362,"MVA","217(7)(a)(iv)","Seat Belt Assembly"
15363,"MVA","220.3","Refusal to give blood sample"
15365,"MVA","220.4(1)(a)","Proof of blood sample"
15366,"MVA","220.4(7)","Proof of blood sample"
15367,"MVA","220.2","Demand for blood sample"
15368,"MVA","217(7)(a)","Seat Belt Assembly"
15369,"MVA","217(8)","Seat Belt Assembly"
15370,"MVA","217(10)","Seat Belt Assembly"
15371,"MVA","217(9)(c)(ii)","Inadequate child restraint"
15372,"MVA","217(9)(c)(i)","Inadequate child restraint"
15373,"MVA","217(9)(c)","Inadequate child restraint"
15374,"MVA","217(9)(b)","Inadequate child restraint"
15375,"MVA","217(9)(a)","Inadequate child restraint"
15376,"MVA","220(3)","Refuse to provide blood sample"
15377,"MVA","220(3)(a)","Refuse to provide blood sample"
15378,"MVA","220(3)(b)","Refuse to provide blood sample"
15379,"MVA","220.1","Driving with more than 80 milligrams of alcohol in"
15380,"MVA","220.1(1)","Blood sample over .08"
15381,"MVA","218(1)","Failing to Wear Helmet when Riding Motor Cycle"
15382,"MVA","217(7)","Seat Belt Assembly"
15383,"MVA","219","Install equipment contrary to mva or mvr"
15384,"MVA","212","Overloaded vehicle"
15385,"MVA","211.3(6)","Use of television set while driving"
15386,"MVA","211.3(5)","Use of television set while driving"
15387,"MVA","211.3(4)(j)(ii)","Use of television set while driving"
15388,"MVA","211.3(4)(j)(i)","Use of television set while driving"
15389,"MVA","211.1(1)","Specific powers to make regulations"
15390,"MVA","211.1(1)(a)","Specific powers to make regulations"
15391,"MVA","211.1(1)(b)","Specific powers to make regulations"
15392,"MVA","211.1(1)(cc)","Specific powers to make regulations"
15393,"MVA","211.1(1)(d)","Specific powers to make regulations"
15394,"MVA","211(2)(b)","Regulations"
15395,"MVA","211.1(1)(x)","Specific powers to make regulations"
15396,"MVA","211(2)(c)","Regulations"
15397,"MVA","211.1(1)(dd)(i)","Specific powers to make regulations"
15398,"MVA","211(2)(e)","Regulations"
15399,"MVA","211(2)(f)","Regulations"
15400,"MVA","211(2)(g)","Regulations"
15401,"MVA","211(2)(h)","Regulations"
15402,"MVA","211(2)(i)","Regulations"
15403,"MVA","211(3)","Use of television set while driving"
15404,"MVA","211.1","Specific powers to make regulations"
15825,"MVA","97(7)","Proof of financial responsibility"
15826,"MVA","102","Issue of financial responsibility card"
16012,"MVA","34(1)(a)","Misuse - demonstration licence"
16013,"MVA","34(1)","Misuse - demonstration licence"
16014,"MVA","34","Misuse - demonstration licence"
16015,"MVA","33(2)","Employing unlicenced driver"
16016,"MVA","34(2)","Misuse - demonstration licence"
16017,"MVA","34(1)(b)(i)","Misuse - demonstration licence"
16018,"MVA","34(4)","Misuse - demonstration licence"
16019,"MVA","34(3)","Misuse - demonstration licence"
16020,"MVA","34(2)(f)","Misuse - demonstration licence"
16021,"MVA","34(2)(e)","Misuse - demonstration licence"
16022,"MVA","34(2)(d)","Misuse - demonstration licence"
16023,"MVA","40(5)","No manufacturer plate"
16024,"MVA","41(2)","Operation of motor vehicle by customer"
16025,"MVA","40(3)","No manufacturer plate"
16026,"MVA","40(2)(d)","No manufacturer plate"
16027,"MVA","40(2)(c)","No manufacturer plate"
16028,"MVA","39(4)","No transporter licence"
16029,"MVA","40(2)(a)","No manufacturer plate"
16030,"MVA","40(6)","No manufacturer plate"
16031,"MVA","40(4)","No manufacturer plate"
16032,"MVA","41(1)(b)","Operation of motor vehicle by customer"
16033,"MVA","41(1)(a)","Operation of motor vehicle by customer"
16034,"MVA","41(1)","Operation of motor vehicle by customer"
16036,"MVA","40(8)","Fail to relinquish lic plates"
16425,"MVA","102(1)","Issue of financial responsibility card"
16426,"MVA","114","Note:  Section(s) Repealed, Not In Force, Spent"
16427,"MVA","86","Prohibition against Driving by Superintendent"
16428,"MVA","112","Note:  Section(s) Repealed, Not In Force, Spent"
15716,"MVA","141","Fail maint unobstructed traff sign"
15717,"MVA","140(3)","Fail maint unobstructed traff sign"
15718,"MVA","140(2)","Prohibited from erecting traffic control device on"
15719,"MVA","120(6)","Municipal powers"
15720,"MVA","120(5)","Municipal powers"
15721,"MVA","120(4)(b)","Municipal powers"
15722,"MVA","120(4)(a)","Municipal powers"
15723,"MVA","132(1)(a)","Green Light Alone - No Yeild"
15724,"MVA","121","Note:  Section(s) Repealed, Not In Force, Spent"
15725,"MVA","120(8)","Municipal powers"
15726,"MVA","120(7)(c)","Municipal powers"
